art,rrc00,148.2,105.6,130.8,138.9,146.6,149.2,152.6,153.8,153.9,154.5
sail,rrc00,94.4,69.6,85.3,89.2,93.8,95.9,96.7,96.8,96.9,96.9
poptrie,rrc00,39.9,33.4,37.8,39.4,40.6,41.6,41.8,41.9,41.9,42.2
dxr,rrc00,22.8,21.6,25.9,26.2,26.8,26.8,26.8,28.5,30.3,30.9
