poptrie,1,39.8,40.6,40.6,40.0,40.6,40.0,40.6,39.8,40.0,40.6,40.0,40.6,40.6,40.0,39.9,40.6,40.0,39.9,39.9,40.6,40.5,40.0,40.0,40.6,39.9,40.6,40.6,40.6,39.8,40.5,39.8,40.6,39.8,39.9,40.6,40.6,40.6,40.6,39.9,40.6,40.5,39.9,40.6,40.6,40.5,40.5,40.6,39.9,40.6,39.8,39.8,40.5,40.5,39.9,40.0,40.6,39.9,40.6,40.6,39.9,40.6,40.0,40.6,40.6,40.0,40.6,39.9,40.6,39.9,40.0,40.0,40.5,40.5,40.0,40.6,40.6,39.8,39.8,40.5,39.8,40.0,40.6,40.6,39.8,40.5,40.5,40.6,40.5,39.9,40.0,40.5,39.8,40.0,40.5,39.8,40.0,40.0,39.8,40.6,40.6,40.5
poptrie,2,32.6,32.5,32.0,32.7,32.0,32.7,32.5,32.6,32.1,32.1,33.4,33.8,33.8,33.4,32.1,33.8,32.1,32.7,33.4,33.8,32.4,32.1,33.4,32.5,33.4,33.8,32.1,33.1,33.3,33.7,32.6,32.5,32.6,33.4,33.1,32.0,32.0,33.8,32.1,33.1,33.7,32.1,33.1,33.1,33.0,31.2,32.5,32.1,33.1,32.0,31.5,33.0,31.2,33.4,31.2,33.1,31.1,33.1,32.5,31.6,32.5,33.4,33.8,33.1,31.6,32.5,31.6,33.8,32.7,32.1,33.4,31.5,32.4,32.7,32.5,33.8,33.3,32.6,32.4,32.6,32.1,32.5,33.1,31.1,32.4,33.0,32.0,32.0,32.6,33.4,31.9,30.7,33.4,32.4,32.6,32.1,33.4,32.6,33.1,33.1,32.4
poptrie,4,37.1,38.7,38.7,38.2,38.4,38.2,38.4,37.7,38.2,38.1,38.2,38.7,38.7,37.8,37.5,38.7,38.2,38.2,37.5,38.7,37.7,37.8,38.2,38.7,38.2,38.7,38.4,38.7,38.1,38.3,37.7,38.7,37.7,38.2,38.7,38.4,38.7,38.7,37.8,38.7,38.0,37.5,38.4,38.7,38.6,37.7,38.7,37.5,38.7,38.1,37.2,38.3,38.3,37.8,38.2,38.4,37.8,38.7,38.7,38.2,38.1,37.5,37.8,38.4,38.2,38.7,38.2,38.7,38.2,37.8,38.2,38.3,38.6,37.8,38.7,38.7,37.7,37.7,38.3,38.1,37.8,38.1,38.7,38.1,38.6,38.6,38.7,38.6,37.5,38.2,38.0,38.1,38.2,38.6,38.1,38.2,38.2,38.1,38.7,38.7,38.6
poptrie,8,39.1,39.8,40.0,39.4,40.0,39.4,40.0,39.3,39.4,40.0,39.4,40.0,40.0,39.4,39.4,40.0,39.2,39.2,39.4,40.0,39.9,39.4,39.2,39.6,39.4,40.0,40.0,40.0,39.0,39.7,39.2,39.8,39.0,39.0,40.0,39.8,39.8,40.0,39.4,40.0,39.9,39.4,40.0,39.8,39.7,39.7,40.0,39.4,40.0,39.1,39.1,39.9,39.7,39.2,39.2,40.0,39.2,40.0,39.8,39.4,40.0,39.4,40.0,40.0,39.4,40.0,39.2,40.0,39.0,39.4,39.4,39.9,39.7,39.2,39.8,39.8,38.9,39.1,39.7,39.2,39.0,40.0,40.0,38.9,39.7,39.9,39.8,39.5,39.2,39.4,39.9,39.1,39.4,39.5,39.2,39.0,39.4,39.2,40.0,40.0,39.9
poptrie,16,40.5,41.3,41.5,40.6,41.2,40.6,41.5,40.5,40.6,41.4,40.6,41.3,41.3,40.6,40.7,41.4,40.6,40.6,40.7,41.4,41.3,40.6,40.6,41.3,40.6,41.4,41.3,41.3,40.5,41.2,40.5,41.4,40.5,40.6,41.5,41.4,41.3,41.3,40.7,41.3,41.2,40.6,41.3,41.3,41.2,41.2,41.3,40.6,41.4,40.5,40.5,41.3,41.3,40.6,40.8,41.4,40.6,41.4,41.3,40.6,41.4,40.6,41.3,41.5,40.6,41.3,40.6,41.3,40.6,40.6,40.6,41.3,41.2,40.6,41.4,41.4,40.5,40.5,41.1,40.5,40.6,41.4,41.5,40.5,41.3,41.3,41.5,41.2,40.6,40.9,41.3,40.5,40.6,41.2,40.5,40.6,40.7,40.5,41.5,41.2,41.3
poptrie,32,41.6,42.3,42.4,41.6,42.4,41.6,42.4,41.6,41.6,42.4,41.6,42.4,42.4,41.6,41.6,42.4,41.6,41.6,41.6,42.3,42.4,41.6,41.6,42.4,41.6,42.4,42.4,42.4,41.6,42.4,41.6,42.4,41.6,41.6,42.3,42.4,42.4,42.4,41.7,42.4,42.3,41.6,42.4,42.4,42.4,42.4,42.4,41.6,42.4,41.6,41.6,42.3,42.3,41.6,41.6,42.3,41.6,42.4,42.4,41.6,42.4,41.6,42.4,42.4,41.6,42.4,41.6,42.4,41.6,41.6,41.6,42.3,42.3,41.6,42.3,42.3,41.6,41.6,42.3,41.6,41.6,42.4,42.4,41.6,42.3,42.3,42.4,42.3,41.6,41.6,42.3,41.6,41.6,42.3,41.6,41.6,41.6,41.6,42.3,42.4,42.3
poptrie,64,41.8,42.5,42.5,41.8,42.5,41.8,42.5,41.8,41.8,42.5,41.8,42.5,42.5,41.8,41.8,42.5,41.8,41.8,41.8,42.5,42.5,41.8,41.8,42.5,41.8,42.5,42.5,42.5,41.8,42.5,41.8,42.5,41.8,41.8,42.5,42.5,42.5,42.5,41.8,42.5,42.5,41.8,42.5,42.5,42.5,42.5,42.5,41.8,42.5,41.8,41.8,42.5,42.5,41.8,41.8,42.5,41.8,42.5,42.5,41.8,42.5,41.8,42.5,42.5,41.8,42.5,41.8,42.5,41.8,41.8,41.8,42.5,42.5,41.8,42.5,42.5,41.8,41.8,42.5,41.8,41.8,42.5,42.5,41.8,42.5,42.5,42.5,42.5,41.8,41.8,42.5,41.8,41.8,42.5,41.8,41.8,41.8,41.8,42.5,42.5,42.5
poptrie,128,41.9,42.6,42.6,41.9,42.6,41.9,42.6,41.9,41.9,42.6,41.9,42.6,42.6,41.9,41.9,42.6,41.9,41.9,41.9,42.6,42.6,41.9,41.9,42.6,41.9,42.6,42.6,42.6,41.9,42.6,41.9,42.6,41.9,41.9,42.6,42.6,42.6,42.6,41.9,42.6,42.6,41.9,42.6,42.6,42.6,42.6,42.6,41.9,42.6,41.9,41.9,42.6,42.6,41.9,41.9,42.6,41.9,42.6,42.6,41.9,42.6,41.9,42.6,42.6,41.9,42.6,41.9,42.6,41.9,41.9,41.9,42.6,42.6,41.9,42.6,42.6,41.9,41.9,42.6,41.9,41.9,42.6,42.6,41.9,42.6,42.6,42.6,42.6,41.9,41.9,42.6,41.9,41.9,42.6,41.9,41.9,41.9,41.9,42.6,42.6,42.6
poptrie,256,41.9,42.7,42.7,42.0,42.7,42.0,42.7,42.0,42.0,42.7,42.0,42.7,42.7,42.0,42.0,42.7,42.0,42.0,42.0,42.7,42.7,42.0,42.0,42.7,42.0,42.7,42.7,42.7,41.9,42.7,41.9,42.7,41.9,42.0,42.7,42.7,42.7,42.7,42.0,42.7,42.7,42.0,42.7,42.7,42.7,42.7,42.7,42.0,42.7,42.0,42.0,42.7,42.7,42.0,42.0,42.7,42.0,42.7,42.7,42.0,42.7,42.0,42.7,42.7,42.0,42.7,42.0,42.7,42.0,42.0,42.0,42.7,42.7,42.0,42.7,42.7,42.0,42.0,42.7,42.0,42.0,42.7,42.7,42.0,42.7,42.7,42.7,42.7,42.0,42.0,42.7,42.0,42.0,42.7,42.0,42.0,42.0,42.0,42.7,42.7,42.7
poptrie,512,42.2,42.9,42.9,42.2,42.9,42.2,42.9,42.2,42.2,42.9,42.2,42.9,42.9,42.2,42.2,42.9,42.2,42.2,42.2,42.9,42.9,42.2,42.2,42.9,42.2,42.9,42.9,42.9,42.2,42.9,42.2,42.9,42.2,42.2,42.9,42.9,42.9,42.9,42.2,42.9,42.9,42.1,42.9,42.9,42.9,42.9,42.9,42.2,42.9,42.2,42.2,42.9,42.9,42.2,42.2,42.9,42.2,42.9,42.9,42.1,42.9,42.2,42.9,42.9,42.2,42.9,42.2,42.9,42.2,42.2,42.2,42.9,42.9,42.2,42.9,42.9,42.2,42.2,42.9,42.2,42.2,42.9,42.9,42.2,42.9,42.9,42.9,42.9,42.2,42.2,42.9,42.2,42.2,42.9,42.2,42.2,42.2,42.2,42.9,42.9,42.9
