art,sail,poptrie
213.92,222.56,204.22
214.69,226.99,206.04
213.49,225.02,206.29
217.46,225.51,208.56
217.4,220.79,204.81
214.08,226.54,209.68
215.2,218.33,193.11
213.01,220.61,210.09
216.96,226.39,210.8
215.9,224.67,207.7
215.68,226.03,204.12
214.03,225.87,202.9
217.04,224.01,204.52
216.44,217.89,204.93
216.87,221.54,205.64
213.4,216.64,209.82
216.14,220.88,209.51
207.93,227.81,205.99
215.14,228.19,209.63
206.28,221.97,209.5
216.91,220.66,211.09
215.9,226.03,205.38
217.25,215.6,209.26
215.31,225.73,204.57
216.09,224.04,209.99
216,224.69,199.48
214.1,216.98,204.02
214.88,229.62,210.64
216.04,220.7,203.38
214.82,218.06,210.11
215.13,227.6,208.65
215.53,212.72,207.8
215.41,227.63,201.85
217.04,219.43,212.92
216.49,217.86,205.48
215.21,212.83,203.23
204.03,221.42,208.93
216.21,225.86,205.29
215.86,227.23,204.78
215.65,225.74,208.84
215.01,228.76,210.45
215.55,222.05,204.13
215.65,220.65,209.34
196.25,220.6,204.68
216.2,226.6,202.3
215.31,216.98,209.35
217.46,208.59,204.33
216.81,221.36,196.81
216.07,225.73,204.58
215.64,226.56,210.64
215.88,220.84,204.86
203.21,220.74,207.52
216.97,228.59,210.81
210.86,224.8,209.56
216.55,224.22,198.93
214.36,226.15,210.03
215.75,218.68,205.83
204.48,219.75,207.52
215.77,221.47,208.77
214.97,225.54,209.67
218.37,222.23,204.04
206.21,217.2,210.05
215.2,216.14,209.66
215.69,225.94,210.01
216.43,227.95,209.92
216.29,215.17,209.92
215.92,217.6,201.26
216.42,218.74,211.51
217.67,225.54,204.41
216.75,218.97,208.67
215.89,229.73,210.75
216.45,228.64,202.77
216.56,193.37,209.99
215.58,225.23,210.88
216.24,227.03,204.7
216.5,213.97,208.85
218.24,222.33,210.07
217.91,219.3,210.78
204.31,215.12,205.6
215.9,223.54,204.02
213.98,223.23,205.23
217.53,224.47,209
214.92,228.71,203.53
216.72,222.06,206.38
214.7,229.55,210.23
217.06,227.81,206.13
216.59,224.99,210.45
217.34,225.72,209.33
215.98,220.89,211
216.18,226.09,210.44
217.91,228.29,205.18
215.3,227.51,209.72
214.13,219.44,204.86
216.01,222.14,190.06
216.86,222.45,204.35
215.97,222.67,204.36
216.57,230.22,210.8
216.1,222.39,210.5
215.34,218.03,205.84
215.66,222.68,206.59
