rand_id,loc_1,loc_2,loc_4,loc_8,loc_16,loc_32,loc_64,loc_128,loc_256,loc_512
78,120.5,183.3,222.8,284.9,347.4,470.7,550.7,619.7,678,695.5
79,121,185.1,227.8,289.4,343.5,451.6,552.6,638.2,663.8,703.6
80,119.5,184.8,224.5,289.1,341.6,451.1,552.2,620.9,679.5,698.8
81,120.7,182.7,225,290.6,342.9,450.9,548,627.9,688.5,772
82,120.8,184.2,225.5,289.2,342.4,466.7,582.7,639.1,685.1,695.3
83,120.2,184.5,224.4,290.8,349,473.8,565.7,654.9,680.9,712.2
84,121.5,185,224.9,285.7,347.8,473.1,565.1,639.7,664.4,716.8
85,120,183,230.5,289.7,347.7,452.6,565.4,626.9,680.5,702.7
86,119.8,184.3,224.6,288.7,347.5,467.4,582.8,620.5,679.9,716.8
87,118.8,182.3,224.9,289,331.8,466.4,573,639.7,688.6,701.4
88,121.2,182.8,225.5,289.5,347.2,452.5,548.7,637.4,684,694.9
89,118.7,184.5,226.1,289.4,344,456.3,592.2,693.8,758.8,793.8
90,120.4,184.9,223.8,289.6,343.6,452.1,553.2,616.6,663.1,711
91,120.4,183.3,223.1,289.5,337.3,458.7,554.2,608.2,679.8,711.7
92,119.1,183.4,222.3,289.1,347.4,457.7,572.6,654.6,680.7,702.7
93,117.7,184.9,223.6,289.7,348.3,463.8,536.8,651.1,665.2,700.8
94,120.3,182.3,222.2,288.8,347,457.2,571.6,625,687.9,703.9
95,121.1,180.5,224.7,289.5,346.6,471.4,580.7,625.4,678.8,705.7
96,119,183.6,230.6,285.5,332.8,467.4,554.9,655.1,686.4,708
97,120.7,184.4,225.7,289.9,348.9,467.7,565.7,597,664.3,712.1
98,118,184,222.6,287.9,345.6,470,542,638.4,687.3,698.9
99,119.8,180.7,226.2,289.9,347.6,472.7,565.8,634.6,714.4,795.7
