art,sail,poptrie
171.49,175.82,144.97
172.67,176.97,145.66
169.81,175.35,147.82
171.14,175.37,142.92
170.3,169.66,149.55
173.47,179.97,151.35
171.71,174.94,148.86
171.02,177.35,150.23
164.6,179.89,147.95
171.55,176.24,152.69
170.43,164.84,145.98
170.58,180.17,150.01
171.27,176.75,147.46
171.52,179.65,150.73
171.2,180.63,145.33
170.33,173.4,147.68
169.78,179.24,144.78
170.24,174.35,149.2
175.58,178.08,151.17
169.77,177.55,152.37
171.47,179.09,144.77
163.86,181.77,147.76
171.5,180.98,146.14
171.22,177.04,148.09
171.95,174.24,148.64
172.43,181.13,150.29
163.73,181.83,148.45
163.68,177.22,151.54
163.57,180.88,152.42
172.58,179.16,151.4
164.02,182.13,146.34
169.81,181.37,148.53
171.8,181.08,144.51
171.95,176.01,148.56
172.1,179.49,150.42
171.91,178.06,148.77
172.42,181.78,151.87
172.15,181.89,153.01
164.5,176.95,153.45
171.9,178.36,153.44
171.92,179.17,149.86
171.72,176.08,149.42
172.39,182.11,150.53
164.8,179.75,146.64
172.16,167.9,152.83
172.58,178.28,149.92
172.21,178.07,147.89
164.76,177.33,147.19
178.17,173.12,150.9
165.21,181.29,151.24
171.79,176.25,149.33
173.05,182.95,151.96
172.62,177.36,150.24
163.6,181.7,149.91
172.33,177.2,150.85
171.48,174.65,148.62
171.46,182.06,152.33
164.43,177.32,147.07
164.61,179.84,150.62
164.92,177.61,152.78
164.52,177.32,150.49
171.13,179.2,152.42
171.79,177.61,151.49
172.26,178.28,149.89
171.15,178.69,152.86
172.43,178.65,154.16
172.67,178.8,145.18
164.58,176.3,152.63
163.92,176.76,149.21
166.75,177.81,149.13
171.3,182.12,152.07
171.64,174.53,152.53
172.74,181.92,150.92
172.78,180.3,151.94
172.28,178.36,152.59
169.25,177.77,150.65
173.28,181.97,149.06
163.84,181.25,151.65
164.86,181.88,151.11
172.21,179.48,149.52
172.22,178.65,149.73
171.83,182.62,153.57
172.88,181.92,148.66
172.18,166.55,154.2
172.26,178.46,148.78
172.18,177.83,146.56
172.68,183.04,151.45
164.97,182.48,150.3
171.57,178.44,149.06
163.92,173.67,151.19
173.23,178.53,151
171.83,173.08,149.72
163.75,178.47,153.26
162.75,177.22,150.47
172.9,181.92,157.53
172.01,181.81,154.94
172.11,177.6,148.98
172.11,182.01,149.75
172.4,174.24,153.7
171.92,179.03,152.56
