rand_id,loc_1,loc_2,loc_4,loc_8,loc_16,loc_32,loc_64,loc_128,loc_256,loc_512
78,130.5,158.6,173.9,206,272.3,366.9,465.4,515.3,513.5,571.8
79,130.2,159.8,181.3,213.5,287.4,373.6,443.1,493.1,518.5,533.2
80,130.3,156.4,179.6,211.3,284.6,371.4,442.2,489.1,515.6,530.6
81,130.9,159.2,180.9,211.5,285.1,371.3,441,489.1,517,531
82,130.6,157.1,181.3,211.8,284.7,371.3,441.1,488.4,515.7,530.8
83,131.4,159,181.5,212.4,285.5,371.8,442.7,513.3,578.8,608.7
84,132.2,158.2,180.7,212.6,286.2,372.3,441.8,490.9,517,531.4
85,131.8,158.1,181.1,213.4,287.2,373,443,491,518.6,532.8
86,130.9,157,180.7,212.1,285.5,372.2,441.8,489.7,516.9,531.3
87,131,158.8,181.1,211.5,285.3,370.4,440.3,489,516,534
88,132.1,158.1,181.8,213.3,286.7,372.4,444.3,521.1,520.3,532.4
89,131.1,157.3,181.9,213.1,286.1,372.8,444.3,490.1,517.7,531.9
90,130.9,157.3,180.7,212.7,286.8,371.9,442.1,491.1,517.6,532.1
91,131.1,158.8,180.9,211.8,285.3,371.3,441.5,488.7,575.7,607.9
92,131.7,156.9,179.8,211.7,285.3,371.4,444.1,491.6,516.3,570.1
93,131.5,159.4,181.4,212.7,286.2,372,445,491.9,517.1,532
94,130.7,158.5,180.8,211.2,284.8,370.5,440.7,489.7,515.7,530.5
95,130.7,159.2,181.1,212.2,286.2,372,442.9,489.2,516.5,531.2
96,131.7,157.8,180.7,213.8,287.2,373.3,443.3,491.5,518.1,532.8
97,131.2,159.7,181.8,213.8,286.7,373.5,442.9,501,517.8,532.4
98,130.5,156.3,179.5,211.1,284.6,370.6,440.4,489.8,516,530.4
99,131.8,158.1,181.8,213.3,287.4,373.6,443.5,493.2,518.3,533.2
