art,1,188.4
art,2,283.2
art,3,356.4
art,4,428.4
art,5,513.1
art,6,594.5
art,7,678.8
art,8,756.0
art,9,849.7
art,10,941.0
art,11,1033.0
art,12,1120.5
art,13,1213.4
art,14,1301.2
art,15,1384.1
art,16,1467.2
art,17,1455.4
art,18,1617.6
art,19,1707.9
art,20,1867.2
art,21,1905.7
art,22,1847.3
art,23,2047.5
sail,1,268.3
sail,2,394.3
sail,3,491.0
sail,4,489.4
sail,5,567.0
sail,6,700.7
sail,7,826.6
sail,8,671.3
sail,9,712.4
sail,10,859.5
sail,11,1100.8
sail,12,1037.1
sail,13,1144.7
sail,14,1076.8
sail,15,1346.2
sail,16,1580.9
sail,17,1384.9
sail,18,1489.4
sail,19,1448.9
sail,20,1555.9
sail,21,1689.3
sail,22,1682.6
sail,23,1817.4
poptrie,1,121.5
poptrie,2,188.5
poptrie,3,236.7
poptrie,4,287.4
poptrie,5,286.4
poptrie,6,336.1
poptrie,7,356.3
poptrie,8,303.5
poptrie,9,311.8
poptrie,10,346.8
poptrie,11,360.7
poptrie,12,431.2
poptrie,13,384.0
poptrie,14,456.4
poptrie,15,456.5
poptrie,16,388.1
poptrie,17,538.9
poptrie,18,438.7
poptrie,19,429.5
poptrie,20,506.2
poptrie,21,465.2
poptrie,22,553.2
poptrie,23,530.0
dxr,1,30.5
dxr,2,61.8
dxr,3,91.0
dxr,4,102.4
dxr,5,128.9
dxr,6,131.4
dxr,7,168.0
dxr,8,154.9
dxr,9,170.4
dxr,10,205.6
dxr,11,183.9
dxr,12,254.0
dxr,13,207.2
dxr,14,236.5
dxr,15,230.8
dxr,16,209.9
dxr,17,285.5
dxr,18,223.9
dxr,19,267.7
dxr,20,263.8
dxr,21,253.9
dxr,22,313.7
dxr,23,277.0
