art,rrc00,57.5
sail,rrc00,48.2
poptrie,rrc00,42.9
art,rrc01,58.5
sail,rrc01,48.2
poptrie,rrc01,42.6
art,rrc03,62.4
sail,rrc03,51.8
poptrie,rrc03,44.0
art,rrc04,63.1
sail,rrc04,55.0
poptrie,rrc04,45.3
art,rrc05,62.0
sail,rrc05,49.3
poptrie,rrc05,44.6
art,rrc07,64.1
sail,rrc07,53.5
poptrie,rrc07,46.9
art,rrc10,64.1
sail,rrc10,50.0
poptrie,rrc10,44.5
art,rrc11,61.1
sail,rrc11,51.7
poptrie,rrc11,44.4
art,rrc12,60.4
sail,rrc12,48.5
poptrie,rrc12,42.1
art,rrc13,62.4
sail,rrc13,51.3
poptrie,rrc13,45.8
art,rrc14,62.6
sail,rrc14,52.0
poptrie,rrc14,45.1
art,rrc15,61.6
sail,rrc15,48.6
poptrie,rrc15,44.7
art,rrc16,66.2
sail,rrc16,55.1
poptrie,rrc16,45.5
art,rrc18,66.1
sail,rrc18,53.8
poptrie,rrc18,45.2
art,rrc19,64.2
sail,rrc19,53.1
poptrie,rrc19,45.4
art,rrc20,61.0
sail,rrc20,49.9
poptrie,rrc20,44.5
art,rrc21,63.1
sail,rrc21,51.1
poptrie,rrc21,45.4
art,rrc22,63.3
sail,rrc22,55.5
poptrie,rrc22,46.3
art,rrc23,64.3
sail,rrc23,52.6
poptrie,rrc23,46.0
