art,rrc00,29.3
sail,rrc00,28.2
poptrie,rrc00,15.9
art,rrc01,29.8
sail,rrc01,27.8
poptrie,rrc01,15.8
art,rrc02,51.3
sail,rrc02,40.7
poptrie,rrc02,20.2
art,rrc03,36.3
sail,rrc03,29.6
poptrie,rrc03,16.1
art,rrc04,37.2
sail,rrc04,29.5
poptrie,rrc04,16.5
art,rrc05,34.3
sail,rrc05,28.6
poptrie,rrc05,16.3
sail,rrc06,30.0
poptrie,rrc06,16.8
art,rrc07,40.4
sail,rrc07,29.7
poptrie,rrc07,16.6
art,rrc10,36.4
sail,rrc10,29.5
poptrie,rrc10,16.6
art,rrc11,36.3
sail,rrc11,30.2
poptrie,rrc11,16.5
art,rrc12,31.6
sail,rrc12,28.4
poptrie,rrc12,15.9
art,rrc13,36.0
sail,rrc13,29.7
poptrie,rrc13,16.5
art,rrc14,37.0
sail,rrc14,29.1
poptrie,rrc14,16.3
art,rrc15,34.7
sail,rrc15,29.2
poptrie,rrc15,16.2
art,rrc16,43.6
sail,rrc16,29.7
poptrie,rrc16,16.8
art,rrc18,39.8
sail,rrc18,29.9
poptrie,rrc18,16.6
art,rrc19,37.7
sail,rrc19,29.4
poptrie,rrc19,16.6
art,rrc20,34.4
sail,rrc20,28.7
poptrie,rrc20,16.2
art,rrc21,37.0
sail,rrc21,29.3
poptrie,rrc21,16.5
art,rrc22,41.2
sail,rrc22,30.5
poptrie,rrc22,16.8
art,rrc23,37.7
sail,rrc23,29.7
poptrie,rrc23,16.7
