art,rrc00,58.0
sail,rrc00,45.9
poptrie,rrc00,43.0
art,rrc01,56.4
sail,rrc01,45.0
poptrie,rrc01,42.6
art,rrc02,166.3
sail,rrc02,181.4
poptrie,rrc02,58.7
art,rrc03,60.4
sail,rrc03,49.1
poptrie,rrc03,43.7
art,rrc04,63.2
sail,rrc04,51.7
poptrie,rrc04,37.7
art,rrc05,61.3
sail,rrc05,47.4
poptrie,rrc05,44.6
sail,rrc06,51.5
poptrie,rrc06,46.5
art,rrc07,61.2
sail,rrc07,49.1
poptrie,rrc07,46.0
art,rrc10,63.7
sail,rrc10,48.4
poptrie,rrc10,45.4
art,rrc11,62.1
sail,rrc11,48.7
poptrie,rrc11,44.7
art,rrc12,59.6
sail,rrc12,47.2
poptrie,rrc12,43.4
art,rrc13,61.3
sail,rrc13,49.7
poptrie,rrc13,43.3
art,rrc14,60.7
sail,rrc14,46.5
poptrie,rrc14,44.8
art,rrc15,60.2
sail,rrc15,46.2
poptrie,rrc15,44.0
art,rrc16,65.2
sail,rrc16,52.2
poptrie,rrc16,46.3
art,rrc18,63.0
sail,rrc18,51.2
poptrie,rrc18,46.3
art,rrc19,62.8
sail,rrc19,48.7
poptrie,rrc19,37.8
art,rrc20,61.1
sail,rrc20,47.6
poptrie,rrc20,43.1
art,rrc21,62.4
sail,rrc21,49.3
poptrie,rrc21,45.3
art,rrc22,62.9
sail,rrc22,54.0
poptrie,rrc22,46.4
art,rrc23,63.9
sail,rrc23,50.2
poptrie,rrc23,40.7
