art,rrc00,210.2
art,rrc01,232.7
art,rrc02,279.1
art,rrc03,227.3
art,rrc04,232.3
art,rrc05,232.4
art,rrc06,234.0
art,rrc07,222.0
art,rrc10,223.8
art,rrc11,225.0
art,rrc12,230.4
art,rrc13,216.1
art,rrc14,233.3
art,rrc15,213.4
art,rrc16,237.3
art,rrc18,237.7
art,rrc19,232.5
art,rrc20,223.0
art,rrc21,231.5
art,rrc22,238.7
art,rrc23,236.4
art,rrc24,236.1
sail,rrc00,200.5
sail,rrc01,209.8
sail,rrc02,203.8
sail,rrc03,209.2
sail,rrc04,207.8
sail,rrc05,209.0
sail,rrc06,208.2
sail,rrc07,206.3
sail,rrc10,205.2
sail,rrc11,207.6
sail,rrc12,208.6
sail,rrc13,206.4
sail,rrc14,208.5
sail,rrc15,203.1
sail,rrc16,209.5
sail,rrc18,209.4
sail,rrc19,208.6
sail,rrc20,206.4
sail,rrc21,208.7
sail,rrc22,210.1
sail,rrc23,209.5
sail,rrc24,210.6
poptrie,rrc00,86.1
poptrie,rrc01,97.2
poptrie,rrc02,96.3
poptrie,rrc03,96.7
poptrie,rrc04,96.8
poptrie,rrc05,97.2
poptrie,rrc06,97.1
poptrie,rrc07,96.4
poptrie,rrc10,95.7
poptrie,rrc11,96.4
poptrie,rrc12,96.8
poptrie,rrc13,95.8
poptrie,rrc14,97.0
poptrie,rrc15,94.2
poptrie,rrc16,97.3
poptrie,rrc18,97.2
poptrie,rrc19,96.6
poptrie,rrc20,96.2
poptrie,rrc21,96.9
poptrie,rrc22,97.3
poptrie,rrc23,97.3
poptrie,rrc24,96.7
dxr,rrc00,27.8
dxr,rrc01,30.9
dxr,rrc02,32.0
dxr,rrc03,30.7
dxr,rrc04,31.1
dxr,rrc05,31.1
dxr,rrc06,30.7
dxr,rrc07,30.9
dxr,rrc10,30.6
dxr,rrc11,30.7
dxr,rrc12,31.0
dxr,rrc13,30.9
dxr,rrc14,31.0
dxr,rrc15,29.9
dxr,rrc16,30.7
dxr,rrc18,31.4
dxr,rrc19,30.9
dxr,rrc20,31.0
dxr,rrc21,30.8
dxr,rrc22,31.1
dxr,rrc23,31.1
dxr,rrc24,30.9
