art,1,118.6
art,2,261.6
art,3,366.3
art,4,514.0
art,5,572.1
art,6,742.7
art,7,830.2
art,8,970.0
art,9,1014.0
art,10,1187.0
art,11,1261.6
art,12,1434.1
art,13,1019.5
art,14,1210.8
art,15,1165.1
art,16,1350.2
art,17,1277.4
art,18,1222.1
art,19,1561.5
art,20,1621.5
art,21,1456.5
art,22,1704.0
art,23,306.1
sail,1,136.3
sail,2,241.9
sail,3,344.7
sail,4,445.9
sail,5,533.9
sail,6,628.0
sail,7,697.0
sail,8,822.8
sail,9,896.8
sail,10,966.1
sail,11,1102.9
sail,12,1193.7
sail,13,976.0
sail,14,1136.5
sail,15,1202.2
sail,16,1269.3
sail,17,1195.8
sail,18,1192.7
sail,19,1378.4
sail,20,1517.3
sail,21,1412.2
sail,22,461.5
sail,23,140.3
poptrie,1,67.5
poptrie,2,117.2
poptrie,3,162.0
poptrie,4,158.6
poptrie,5,198.7
poptrie,6,312.5
poptrie,7,236.8
poptrie,8,214.5
poptrie,9,412.3
poptrie,10,369.0
poptrie,11,270.3
poptrie,12,381.9
poptrie,13,351.8
poptrie,14,335.0
poptrie,15,377.6
poptrie,16,435.1
poptrie,17,306.4
poptrie,18,259.1
poptrie,19,370.0
poptrie,20,396.3
poptrie,21,292.4
poptrie,22,263.3
poptrie,23,469.9
dxr,1,25.1
dxr,2,51.3
dxr,3,74.7
dxr,4,79.8
dxr,5,104.4
dxr,6,112.8
dxr,7,126.8
dxr,8,117.3
dxr,9,149.6
dxr,10,168.9
dxr,11,142.6
dxr,12,174.0
dxr,13,164.1
dxr,14,186.6
dxr,15,201.3
dxr,16,196.1
dxr,17,213.7
dxr,18,170.3
dxr,19,217.2
dxr,20,214.9
dxr,21,197.7
dxr,22,243.3
dxr,23,225.5
