art,rrc00,214.3
art,rrc01,179.8
art,rrc02,273.0
art,rrc03,175.3
art,rrc04,230.4
art,rrc05,180.2
art,rrc06,231.0
art,rrc07,169.8
art,rrc10,221.1
art,rrc11,172.1
art,rrc12,229.0
art,rrc13,165.0
art,rrc14,231.8
art,rrc15,160.6
art,rrc16,234.5
art,rrc18,183.6
art,rrc19,232.4
art,rrc20,167.5
art,rrc21,231.5
art,rrc22,183.7
art,rrc23,236.1
art,rrc24,182.0
sail,rrc01,207.5
sail,rrc02,205.1
sail,rrc03,206.3
sail,rrc04,206.4
sail,rrc05,207.8
sail,rrc06,208.4
sail,rrc07,202.9
sail,rrc10,205.6
sail,rrc11,198.0
sail,rrc12,209.1
sail,rrc13,202.4
sail,rrc14,209.2
sail,rrc15,201.2
sail,rrc16,208.8
sail,rrc18,208.4
sail,rrc19,209.0
sail,rrc20,206.1
sail,rrc21,209.4
sail,rrc22,209.8
sail,rrc23,208.0
sail,rrc24,206.9
poptrie,rrc00,93.1
poptrie,rrc01,96.0
poptrie,rrc02,96.3
poptrie,rrc03,95.4
poptrie,rrc04,96.0
poptrie,rrc05,96.1
poptrie,rrc06,96.1
poptrie,rrc07,96.5
poptrie,rrc10,96.3
poptrie,rrc11,95.1
poptrie,rrc12,96.1
poptrie,rrc13,95.9
poptrie,rrc14,95.8
poptrie,rrc15,92.7
poptrie,rrc16,96.6
poptrie,rrc18,96.8
poptrie,rrc19,95.6
poptrie,rrc20,95.0
poptrie,rrc21,96.7
poptrie,rrc22,96.8
poptrie,rrc23,95.7
poptrie,rrc24,96.3
